joint_int_id,address,joint_str_id,name
276,1770 Amsterdam Ave,golden-wok-new-york-2,Golden Wok
277,398 W 145th St,new-golden-dragon-restaurant-new-york,New Golden Dragon Restaurant
278,3640 Broadway,all-happiness-new-york,All Happiness
279,255 W 148 St,jing-hui-new-york,Jing Hui
280,2825 8th Ave,yong-sheng-new-york,Yong Sheng
281,2726A Frederick Douglass Blvd,city-one-restaurant-manhattan,City One Restaurant
282,1722 Amsterdam Ave,kim-tong-new-york,Kim Tong
283,908 St Nicholas Ave,yang-fan-new-york,Yang Fan
284,500 W 146th St,chopped-parsley-new-york,Chopped Parsley
285,2795 8th Ave,la-nomade-restaurant-cafe-and-bakery-manhattan-2,La Nomade Restaurant Cafe and Bakery
286,1813 Amsterdam Ave,farafina-café-and-lounge-harlem-new-york-3,Farafina Café & Lounge Harlem
287,763 St Nicholas Ave,tsion-cafe-and-bakery-new-york,Tsion Cafe & Bakery
288,3658 Broadway,bono-trattoria-new-york,Bono Trattoria
289,348 W 145th St,victorios-pizza-plus-new-york,Victorio's Pizza Plus
290,1747 Amsterdam Ave,p-and-m-classic-pizza-and-restaurant-new-york,P&M Classic Pizza & Restaurant
291,3594 Broadway,jumbo-pizza-coffee-shop-new-york-2,Jumbo Pizza Coffee Shop
292,394 W 145th St,new-millenium-pizza-new-york,New Millenium Pizza
293,1709 Amsterdam Ave,papa-johns-pizza-new-york-36,Papa John's Pizza
294,2649 Frederick Douglas Blvd,mama-tinas-pizza-new-york,Mama Tina's Pizza
295,3624 Broadway,dominos-pizza-new-york-17,Domino's Pizza
296,346 W 145th St,harlem-brothers-pizza-and-wings-new-york,Harlem Brothers Pizza & Wings
297,3609 Broadway,pizza-ghor-new-york-2,Pizza Ghor
298,201 W 145th St,napolis-pizzeria-new-york,Napolis Pizzeria
299,2421 Adam Clayton Powell Junior Blvd,polanco-restaurant-and-barbecue-new-york,Polanco Restaurant & Barbecue
300,3666 Broadway,el-nuevo-amanecer-restaurant-and-lounge-new-york,El Nuevo Amanecer Restaurant & Lounge
301,1701 Amsterdam Ave,falafel-tarboosh-new-york,Falafel Tarboosh
302,3612 Broadway,harlem-public-new-york,Harlem Public
303,101 Edgecombe Ave,the-edge-new-york-2,The Edge
